Applicant ID,Gender,Married,Dependents,Education,Employment Type,Applicant Income,Co-applicant Income,Loan Amount,Loan Amount Term,Credit History,Property Area,Loan Status (Target)
LP001001,Male,Yes,1,Graduate,Salaried,9584,0,122,360,1.0,Semi-Urban,N
LP001002,Female,No,0,Graduate,Salaried,2657,0,172,360,1.0,Semi-Urban,Y
LP001003,Male,No,1,Graduate,Salaried,3955,0,175,360,1.0,Urban,Y
LP001004,Male,Yes,1,Not Graduate,Salaried,11074,1989,175,360,0.0,Semi-Urban,Y
LP001005,Male,Yes,0,Graduate,Salaried,28397,0,222,360,0.0,Rural,Y
LP001006,Male,Yes,0,Graduate,Self-Employed,8416,0,163,360,1.0,Semi-Urban,Y
LP001007,Male,Yes,0,Graduate,Salaried,5616,0,219,120,1.0,Urban,Y
LP001008,Female,Yes,2,Graduate,Self-Employed,2932,1233,153,360,1.0,Semi-Urban,Y
LP001009,Male,No,0,Graduate,Salaried,1788,0,230,360,1.0,Urban,N
LP001010,Male,Yes,0,Graduate,Self-Employed,14906,0,212,360,1.0,Semi-Urban,Y
LP001011,Male,Yes,0,Not Graduate,Self-Employed,4215,0,195,360,1.0,Semi-Urban,N
LP001012,Female,Yes,1,Graduate,Salaried,15532,0,187,360,1.0,Semi-Urban,Y
LP001013,Female,No,1,Graduate,Self-Employed,3534,0,278,360,1.0,Semi-Urban,N
LP001014,Male,Yes,2,Graduate,Salaried,2567,0,204,360,1.0,Rural,N
LP001015,Male,Yes,2,Graduate,Salaried,7486,5303,89,360,0.0,Semi-Urban,Y
LP001016,Male,Yes,0,Graduate,Salaried,4552,1850,154,180,1.0,Urban,Y
LP001017,Male,No,0,Graduate,Salaried,1472,0,124,360,1.0,Rural,N
LP001018,Male,No,1,Graduate,Salaried,30253,1337,263,120,1.0,Rural,Y
LP001019,Male,Yes,2,Graduate,Salaried,2625,0,215,360,1.0,Rural,N
LP001020,Male,Yes,0,Not Graduate,Salaried,12426,1591,261,360,1.0,Rural,Y
LP001021,Male,Yes,0,Graduate,Salaried,11405,0,94,360,1.0,Urban,Y
LP001022,Male,Yes,2,Not Graduate,Salaried,1394,0,206,360,1.0,Urban,N
