ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
1/1/2018,45,39948,617,Employed,Master,22,13152,48,Married,2,Own,183,0.354417919,1,2,0.3583356,0,Home,0,29,9,7632,146111,19183,3329,0.724972046,11,126928,0.199652,0.22758963,419.8059916,0.181077198,0,49
1/2/2018,38,39709,628,Employed,Associate,15,26045,48,Single,1,Mortgage,496,0.087826968,5,3,0.33027367,0,Debt Consolidation,0,21,9,4627,53204,9595,3309.083333,0.935132099,3,43609,0.207045,0.201077121,794.0542382,0.389852448,0,52
1/3/2018,47,40724,570,Employed,Bachelor,26,17627,36,Married,2,Rent,902,0.137414104,2,0,0.244729109,0,Education,0,20,22,886,25176,128874,3393.666667,0.872240611,6,5205,0.217627,0.21254801,666.4066877,0.462156965,0,52
1/4/2018,58,69084,545,Employed,High School,34,37898,96,Single,1,Mortgage,755,0.267587137,2,1,0.436244265,0,Home,0,27,10,1675,104822,5370,5757,0.896154707,5,99452,0.300398,0.300910849,1047.50698,0.313098312,0,54
1/5/2018,37,103264,594,Employed,Associate,17,9184,36,Married,1,Mortgage,274,0.320535325,0,0,0.078884212,0,Debt Consolidation,0,26,27,1555,244305,17286,8605.333333,0.941368739,5,227019,0.197184,0.175990179,330.1791405,0.070209847,1,36
1/6/2018,37,178310,626,Self-Employed,Master,16,15433,72,Married,0,Rent,732,0.102211337,5,1,0.259366401,0,Debt Consolidation,1,16,19,2118,67914,40843,14859.16667,0.756079359,5,27071,0.217433,0.217601155,385.5770742,0.075211289,1,44
1/7/2018,58,51250,564,Employed,High School,39,12741,48,Married,0,Rent,337,0.367380343,6,1,0.127472703,0,Other,0,21,18,5161,65624,43894,4270.833333,0.884275127,5,21730,0.225741,0.205270968,391.3003517,0.170528863,0,50
1/8/2018,49,97345,516,Employed,High School,23,19634,12,Divorced,5,Mortgage,288,0.209767583,5,0,0.395567635,0,Other,0,19,11,781,50177,11556,8112.083333,0.933492414,5,38621,0.226634,0.209112942,1827.360055,0.260766559,1,42.4
1/9/2018,34,116841,603,Employed,Bachelor,12,55353,60,Divorced,5,Own,638,0.192701165,3,0,0.31323326,1,Debt Consolidation,0,25,29,1157,29632,49940,9736.75,0.728396927,3,7711,0.258853,0.291539425,1762.199026,0.246509259,0,61
1/10/2018,46,40615,612,Employed,Associate,19,25443,12,Married,4,Other,704,0.512464644,3,2,0.505148027,0,Other,0,23,10,1028,129664,12852,3384.583333,0.61532321,3,116812,0.184443,0.197270602,2353.577424,0.903383703,0,53
1/11/2018,34,73646,478,Employed,Associate,10,48716,84,Single,3,Own,267,0.211235988,4,1,0.08144473,0,Auto,0,25,7,9266,148966,20315,6137.166667,0.678446967,4,128651,0.334716,0.333538882,1504.452489,0.288643373,0,47
1/12/2018,34,15000,591,Employed,Bachelor,11,30088,24,Married,2,Mortgage,295,0.312183775,5,1,0.346685661,0,Home,0,21,28,259,33062,3353,1250,0.842015471,3,29709,0.209588,0.182401198,1505.609528,1.440487622,0,56
1/13/2018,42,74453,573,Employed,Bachelor,21,16154,60,Married,1,Rent,258,0.527488434,6,0,0.371033592,0,Debt Consolidation,0,26,7,781,16204,35493,6204.416667,0.718948883,5,5231,0.234654,0.255684531,479.5398903,0.118873366,0,56
1/14/2018,18,100508,580,Employed,Associate,0,20439,60,Married,1,Rent,247,0.168624846,5,2,0.58136098,0,Other,1,20,3,2027,181813,99030,8375.666667,0.543748779,6,82783,0.235439,0.245374274,594.3815332,0.10045547,0,63
1/15/2018,19,47624,597,Employed,Bachelor,0,27197,36,Married,1,Mortgage,196,0.114966564,2,1,0.751514819,0,Debt Consolidation,0,15,21,2971,45336,9418,3968.666667,0.719940554,3,35918,0.213697,0.202228922,1013.829375,0.304845299,0,58
1/16/2018,33,56650,605,Employed,Doctorate,11,12652,36,Single,1,Mortgage,336,0.423430863,4,0,0.044156804,0,Auto,0,21,15,242,261435,11144,4720.833333,0.837213591,2,250291,0.195152,0.216412752,480.840828,0.173028949,1,33.6
1/17/2018,27,50042,582,Employed,Doctorate,7,19105,60,Single,1,Rent,680,0.103919134,6,3,0.308869314,0,Debt Consolidation,0,36,14,2214,11162,89196,4170.166667,0.920866973,5,7021,0.233105,0.187129387,492.5814437,0.281183352,0,53
